lag_1,lag_2,lag_3,lag_4,rolling_mean_3,rolling_std_3,trend_index,scenario_drift,target_carbon_tco2
458.122,441.401,429.087,420.055,454.139,11.2864,14,0,462.894
462.894,458.122,441.401,429.087,464.945,8.04759,15,0,473.82
473.82,462.894,458.122,441.401,469.947,6.1175,16,0,473.126
473.126,473.82,462.894,458.122,474.457,1.73829,17,0,476.423
476.423,473.126,473.82,462.894,476.231,3.01274,18,0,479.143
479.143,476.423,473.126,473.82,472.661,8.97523,19,0,462.417
462.417,479.143,476.423,473.126,471.534,8.46421,20,0,473.042
473.042,462.417,479.143,476.423,470.497,7.1558,21,0,476.033
476.033,473.042,462.417,479.143,477.014,4.54342,22,0,481.968
481.968,476.033,473.042,462.417,484.278,9.61067,23,0,494.833
249.096,243.198,232.245,216.186,244.018,4.72102,4,0,239.762
239.762,249.096,243.198,232.245,240.934,7.64363,5,0,233.944
233.944,239.762,249.096,243.198,236.862,2.90875,6,0,236.879
236.879,233.944,239.762,249.096,230.56,8.53051,7,0,220.856
220.856,236.879,233.944,239.762,221.669,14.8196,8,0,207.273
207.273,220.856,236.879,233.944,212.115,7.58528,9,0,208.214
208.214,207.273,220.856,236.879,210.218,4.31141,10,0,215.167
215.167,208.214,207.273,220.856,219.944,14.7125,11,0,236.452
236.452,215.167,208.214,207.273,232.635,15.9068,12,0,246.286
246.286,236.452,215.167,208.214,248.693,13.6059,13,0,263.342
263.342,246.286,236.452,215.167,257.993,10.1517,14,0,264.352
264.352,263.342,246.286,236.452,267.325,6.04467,15,0,274.28
274.28,264.352,263.342,246.286,272.151,6.98131,16,0,277.819
277.819,274.28,264.352,263.342,272.51,6.38086,17,0,265.431
265.431,277.819,274.28,264.352,269.061,7.62187,18,0,263.932
263.932,265.431,277.819,274.28,268.619,6.86041,19,0,276.493
276.493,263.932,265.431,277.819,271.467,6.64567,20,0,273.975
273.975,276.493,263.932,265.431,274.699,1.56336,21,0,273.628
273.628,273.975,276.493,263.932,273.32,0.852086,22,0,272.357
272.357,273.628,273.975,276.493,280.586,13.1669,23,0,295.772
299.463,294.282,300.954,290.326,298.027,3.27326,4,0,300.337
300.337,299.463,294.282,300.954,299.897,0.43691,5,0,299.891
299.891,300.337,299.463,294.282,302.185,3.59341,6,0,306.326
306.326,299.891,300.337,299.463,299.12,7.62079,7,0,291.143
291.143,306.326,299.891,300.337,296.593,8.44884,8,0,292.311
292.311,291.143,306.326,299.891,296.354,8.0359,9,0,305.609
305.609,292.311,291.143,306.326,297.848,6.922,10,0,295.625
295.625,305.609,292.311,291.143,303.932,7.6092,11,0,310.564
310.564,295.625,305.609,292.311,303.754,7.55639,12,0,305.074
305.074,310.564,295.625,305.609,311.472,6.89747,13,0,318.779
318.779,305.074,310.564,295.625,314.288,7.98034,14,0,319.011
319.011,318.779,305.074,310.564,321.65,4.77262,15,0,327.159
327.159,319.011,318.779,305.074,327.547,8.73704,16,0,336.472
336.472,327.159,319.011,318.779,325.504,11.8823,17,0,312.881
312.881,336.472,327.159,319.011,324.929,11.8037,18,0,325.434
325.434,312.881,336.472,327.159,319.145,6.27653,19,0,319.12
319.12,325.434,312.881,336.472,317.989,8.06943,20,0,309.414
309.414,319.12,325.434,312.881,310.337,8.35932,21,0,302.478
302.478,309.414,319.12,325.434,309.925,7.71546,22,0,317.883
317.883,302.478,309.414,319.12,313.206,9.31694,23,0,319.259
306.447,292.249,282.664,261.37,300.404,7.33052,4,0,302.516
302.516,306.447,292.249,282.664,301.246,5.93842,5,0,294.775
294.775,302.516,306.447,292.249,298.198,3.94731,6,0,297.301
297.301,294.775,302.516,306.447,287.279,15.2248,7,0,269.759
269.759,297.301,294.775,302.516,279.099,15.7655,8,0,270.237
270.237,269.759,297.301,294.775,269.4,1.06302,9,0,268.204
268.204,270.237,269.759,297.301,272.007,4.93341,10,0,277.582
277.582,268.204,270.237,269.759,274.911,5.84845,11,0,278.947
278.947,277.582,268.204,270.237,287.747,16.4389,12,0,306.713
306.713,278.947,277.582,268.204,299.061,17.5853,13,0,311.525
311.525,306.713,278.947,277.582,309.678,2.59375,14,0,310.796
310.796,311.525,306.713,278.947,313.948,4.84122,15,0,319.522
319.522,310.796,311.525,306.713,320.245,9.83001,16,0,330.417
330.417,319.522,310.796,311.525,326.879,6.37294,17,0,330.699
330.699,330.417,319.522,310.796,331.586,1.78634,18,0,333.642
333.642,330.699,330.417,319.522,332.998,2.0544,19,0,334.653
334.653,333.642,330.699,330.417,326.346,13.522,20,0,310.743
310.743,334.653,333.642,330.699,315.057,17.8356,21,0,299.773
299.773,310.743,334.653,333.642,302.078,7.77362,22,0,295.717
295.717,299.773,310.743,334.653,306.555,15.3936,23,0,324.175
233.916,238.693,237.719,240.763,234.066,4.55473,4,0,229.588
229.588,233.916,238.693,237.719,234.04,4.51626,5,0,238.617
238.617,229.588,233.916,238.693,236.359,5.97195,6,0,240.873
240.873,238.617,229.588,233.916,244.577,8.44522,7,0,254.242
254.242,240.873,238.617,229.588,245.259,7.77968,8,0,240.663
240.663,254.242,240.873,238.617,247.724,6.8054,9,0,248.267
248.267,240.663,254.242,240.873,242.526,5.07208,10,0,238.649
238.649,248.267,240.663,254.242,241.193,6.20561,11,0,236.664
236.664,238.649,248.267,240.663,239.321,3.04901,12,0,242.65
242.65,236.664,238.649,248.267,258.072,32.0361,13,0,294.902
294.902,242.65,236.664,238.649,286.261,39.9971,14,0,321.231
321.231,294.902,242.65,236.664,305.335,13.9891,15,0,299.872
299.872,321.231,294.902,242.65,311.679,10.857,16,0,313.934
313.934,299.872,321.231,294.902,304.444,8.22066,17,0,299.526
299.526,313.934,299.872,321.231,308.819,8.06177,18,0,312.997
312.997,299.526,313.934,299.872,306.647,6.76868,19,0,307.419
307.419,312.997,299.526,313.934,307.675,5.19852,20,0,302.609
302.609,307.419,312.997,299.526,304.783,2.43806,21,0,304.32
304.32,302.609,307.419,312.997,302.859,1.35389,22,0,301.647
301.647,304.32,302.609,307.419,306.64,6.473,23,0,313.953
443.152,427.181,411.502,398.611,435.75,8.04895,4,0,436.917
436.917,443.152,427.181,411.502,436.589,6.73334,5,0,429.697
429.697,436.917,443.152,427.181,434.532,4.1872,6,0,436.982
436.982,429.697,436.917,443.152,431.13,5.28413,7,0,426.709
426.709,436.982,429.697,436.917,432.36,5.2131,8,0,433.388
433.388,426.709,436.982,429.697,428.375,4.42295,9,0,425.026
425.026,433.388,426.709,436.982,446.882,30.8987,10,0,482.233
482.233,425.026,433.388,426.709,466.929,36.7256,11,0,493.527
493.527,482.233,425.026,433.388,502.853,26.5419,12,0,532.799
532.799,493.527,482.233,425.026,524.943,28.3165,13,0,548.501
548.501,532.799,493.527,482.233,542.34,8.37842,14,0,545.719
545.719,548.501,532.799,493.527,548.706,3.09505,15,0,551.899
551.899,545.719,548.501,532.799,555.577,12.1233,16,0,569.114
569.114,551.899,545.719,548.501,555.8,11.8541,17,0,546.389
546.389,569.114,551.899,545.719,552.912,14.119,18,0,543.235
543.235,546.389,569.114,551.899,546.77,3.74049,19,0,550.686
550.686,543.235,546.389,569.114,544.709,5.3935,20,0,540.206
540.206,550.686,543.235,546.389,545.557,5.24371,21,0,545.78
545.78,540.206,550.686,543.235,546.103,6.0645,22,0,552.322
552.322,545.78,540.206,550.686,555.625,11.8478,23,0,568.774
125.006,110.425,97.1094,82.8909,114.006,9.71721,4,0,106.588
106.588,125.006,110.425,97.1094,114.725,9.39409,5,0,112.582
112.582,106.588,125.006,110.425,106.747,5.75685,6,0,101.072
101.072,112.582,106.588,125.006,102.862,8.96034,7,0,94.9318
94.9318,101.072,112.582,106.588,98.9057,3.44614,8,0,100.713
100.713,94.9318,101.072,112.582,97.3874,2.9875,9,0,96.5168
96.5168,100.713,94.9318,101.072,101.574,5.5379,10,0,107.492
107.492,96.5168,100.713,94.9318,102.843,5.67644,11,0,104.52
104.52,107.492,96.5168,100.713,107.898,3.59809,12,0,111.682
111.682,104.52,107.492,96.5168,114.384,11.4575,13,0,126.951
126.951,111.682,104.52,107.492,126.093,14.0017,14,0,139.645
139.645,126.951,111.682,104.52,136.765,8.73728,15,0,143.699
143.699,139.645,126.951,111.682,138.825,5.33112,16,0,133.132
133.132,143.699,139.645,126.951,138.166,5.30115,17,0,137.669
137.669,133.132,143.699,139.645,134.06,3.24612,18,0,131.379
131.379,137.669,133.132,143.699,137.116,5.48193,19,0,142.301
142.301,131.379,137.669,133.132,135.331,6.05395,20,0,132.314
132.314,142.301,131.379,137.669,128.203,16.5412,21,0,109.994
109.994,132.314,142.301,131.379,120.47,11.2228,22,0,119.101
119.101,109.994,132.314,142.301,115.917,5.13458,23,0,118.656
65.9516,71.3841,48.732,51.0097,67.844,3.06828,4,0,66.1962
66.1962,65.9516,71.3841,48.732,62.1786,6.74795,5,0,54.388
54.388,66.1962,65.9516,71.3841,56.4373,8.91275,6,0,48.7277
48.7277,54.388,66.1962,65.9516,49.2945,4.83515,7,0,44.7677
44.7677,48.7277,54.388,66.1962,43.8532,5.39016,8,0,38.0644
38.0644,44.7677,48.7277,54.388,48.5492,12.8016,9,0,62.8155
62.8155,38.0644,44.7677,48.7277,46.0425,14.5316,10,0,37.2476
37.2476,62.8155,38.0644,44.7677,48.537,13.0434,11,0,45.5479
45.5479,37.2476,62.8155,38.0644,53.8268,21.9241,12,0,78.6849
78.6849,45.5479,37.2476,62.8155,73.7101,26.0338,13,0,96.8976
96.8976,78.6849,45.5479,37.2476,82.214,13.2756,14,0,71.0596
71.0596,96.8976,78.6849,45.5479,82.4029,13.2041,15,0,79.2516
79.2516,71.0596,96.8976,78.6849,77.074,5.27431,16,0,80.9109
80.9109,79.2516,71.0596,96.8976,81.0472,1.86753,17,0,82.9792
82.9792,80.9109,79.2516,71.0596,71.0746,18.8566,18,0,49.3336
49.3336,82.9792,80.9109,79.2516,58.5527,21.3649,19,0,43.3451
43.3451,49.3336,82.9792,80.9109,45.0587,3.72642,20,0,42.4972
42.4972,43.3451,49.3336,82.9792,40.5266,4.16911,21,0,35.7375
35.7375,42.4972,43.3451,49.3336,36.4168,5.77088,22,0,31.0156
31.0156,35.7375,42.4972,43.3451,35.4942,4.36199,23,0,39.7294
76.4615,74.6808,79.9211,73.1607,74.5997,1.90359,4,0,72.6569
72.6569,76.4615,74.6808,79.9211,72.8423,3.53012,5,0,69.4085
69.4085,72.6569,76.4615,74.6808,67.3547,6.57427,6,0,59.9987
59.9987,69.4085,72.6569,76.4615,64.6912,4.70496,7,0,64.6665
64.6665,59.9987,69.4085,72.6569,61.0659,3.20323,8,0,58.5324
58.5324,64.6665,59.9987,69.4085,65.9464,8.12985,9,0,74.6403
74.6403,58.5324,64.6665,59.9987,67.9548,8.39548,10,0,70.6918
70.6918,74.6403,58.5324,64.6665,69.3806,6.02325,11,0,62.8098
62.8098,70.6918,74.6403,58.5324,63.1837,7.32831,12,0,56.0495
56.0495,62.8098,70.6918,74.6403,58.1816,4.01222,13,0,55.6856
55.6856,56.0495,62.8098,70.6918,62.4891,11.4702,14,0,75.7321
75.7321,55.6856,56.0495,62.8098,66.6442,10.1533,15,0,68.515
68.515,75.7321,55.6856,56.0495,71.0285,4.07666,16,0,68.8384
68.8384,68.515,75.7321,55.6856,61.8567,11.8136,17,0,48.2168
48.2168,68.8384,68.515,75.7321,61.0038,11.1673,18,0,65.9563
65.9563,48.2168,68.8384,68.515,57.5695,8.90912,19,0,58.5354
58.5354,65.9563,48.2168,68.8384,55.8949,11.6092,20,0,43.1929
43.1929,58.5354,65.9563,48.2168,49.5389,8.00736,21,0,46.8883
46.8883,43.1929,58.5354,65.9563,47.6872,4.94238,22,0,52.9803
52.9803,46.8883,43.1929,58.5354,50.9257,3.49662,23,0,52.9083
120.655,113.012,86.4908,108.865,118.507,4.79571,4,0,121.852
121.852,120.655,113.012,86.4908,118.57,4.68654,5,0,113.203
113.203,121.852,120.655,113.012,110.609,12.7403,6,0,96.7708
96.7708,113.203,121.852,120.655,106.023,8.40973,7,0,108.095
108.095,96.7708,113.203,121.852,106.95,9.65751,8,0,115.984
115.984,108.095,96.7708,113.203,104.738,13.2474,9,0,90.1348
90.1348,115.984,108.095,96.7708,106.59,14.2985,10,0,113.653
113.653,90.1348,115.984,108.095,105.261,13.1261,11,0,111.997
111.997,113.653,90.1348,115.984,116.572,6.54229,12,0,124.065
124.065,111.997,113.653,90.1348,120.708,7.61038,13,0,126.063
126.063,124.065,111.997,113.653,129.941,8.50533,14,0,139.694
139.694,126.063,124.065,111.997,140.955,15.5598,15,0,157.106
157.106,139.694,126.063,124.065,149.469,8.90095,16,0,151.608
151.608,157.106,139.694,126.063,155.404,3.29376,17,0,157.499
157.499,151.608,157.106,139.694,152.271,4.93002,18,0,147.706
147.706,157.499,151.608,157.106,147.217,10.5351,19,0,136.446
136.446,147.706,157.499,151.608,142.577,5.69659,20,0,143.579
143.579,136.446,147.706,157.499,137.802,5.23276,21,0,133.38
133.38,143.579,136.446,147.706,139.263,5.2766,22,0,140.828
140.828,133.38,143.579,136.446,137.975,4.01758,23,0,139.715
177.547,175.819,157.732,157.113,180.713,7.03306,4,0,188.772
188.772,177.547,175.819,157.732,182.313,5.80086,5,0,180.62
180.62,188.772,177.547,175.819,176.982,13.9696,6,0,161.553
161.553,180.62,188.772,177.547,171.707,9.59414,7,0,172.949
172.949,161.553,180.62,188.772,166.393,5.88869,8,0,164.676
164.676,172.949,161.553,180.62,170.066,4.67163,9,0,172.572
172.572,164.676,172.949,161.553,177.049,15.1177,10,0,193.9
193.9,172.572,164.676,172.949,186.858,12.3719,11,0,194.101
194.101,193.9,172.572,164.676,193.271,1.26715,12,0,191.813
191.813,194.101,193.9,172.572,194.537,2.96657,13,0,197.698
197.698,191.813,194.101,193.9,200.924,11.0819,14,0,213.261
213.261,197.698,191.813,194.101,206.439,7.95693,15,0,208.357
208.357,213.261,197.698,191.813,212.335,3.60536,16,0,215.388
215.388,208.357,213.261,197.698,215.855,7.74199,17,0,223.82
223.82,215.388,208.357,213.261,223.043,7.2981,18,0,229.922
229.922,223.82,215.388,208.357,226.215,3.25518,19,0,224.904
224.904,229.922,223.82,215.388,219.032,14.7308,20,0,202.271
202.271,224.904,229.922,223.82,217.626,13.3039,21,0,225.703
225.703,202.271,224.904,229.922,218.97,14.5518,22,0,228.936
228.936,225.703,202.271,224.904,231.167,6.8571,23,0,238.862
290.375,280.108,280.813,247.205,284.659,5.23146,4,0,283.494
283.494,290.375,280.108,280.813,290.394,6.91048,5,0,297.315
297.315,283.494,290.375,280.108,293.971,9.26945,6,0,301.105
301.105,297.315,283.494,290.375,298.197,2.58188,7,0,296.173
296.173,301.105,297.315,283.494,298.735,2.47176,8,0,298.928
298.928,296.173,301.105,297.315,299.592,3.79487,9,0,303.675
303.675,298.928,296.173,301.105,301.216,2.37793,10,0,301.046
301.046,303.675,298.928,296.173,306.55,7.37458,11,0,314.929
314.929,301.046,303.675,298.928,313.337,11.5775,12,0,324.036
324.036,314.929,301.046,303.675,325.479,11.3399,13,0,337.471
337.471,324.036,314.929,301.046,337.355,13.2616,14,0,350.559
350.559,337.471,324.036,314.929,342.854,6.84586,15,0,340.532
340.532,350.559,337.471,324.036,347.85,6.40837,16,0,352.46
352.46,340.532,350.559,337.471,353.682,13.8019,17,0,368.055
368.055,352.46,340.532,350.559,357.507,9.13728,18,0,352.007
352.007,368.055,352.46,340.532,357.731,8.95856,19,0,353.13
353.13,352.007,368.055,352.46,356.402,6.664,20,0,364.07
364.07,353.13,352.007,368.055,363.622,10.2751,21,0,373.666
373.666,364.07,353.13,352.007,370.393,5.47689,22,0,373.443
373.443,373.666,364.07,353.13,379.749,10.7308,23,0,392.14
398.111,412.71,376.843,381.277,403.152,8.28169,4,0,398.634
398.634,398.111,412.71,376.843,398.628,0.514189,5,0,399.139
399.139,398.634,398.111,412.71,387.187,20.2663,6,0,363.787
363.787,399.139,398.634,398.111,372.487,23.5405,7,0,354.534
354.534,363.787,399.139,398.634,353.65,10.6068,8,0,342.629
342.629,354.534,363.787,399.139,347.416,6.28587,9,0,345.085
345.085,342.629,354.534,363.787,348.188,7.60247,10,0,356.852
356.852,345.085,342.629,354.534,355.49,9.79507,11,0,364.532
364.532,356.852,345.085,342.629,364.629,7.82572,12,0,372.502
372.502,364.532,356.852,345.085,368.659,3.9925,13,0,368.943
368.943,372.502,364.532,356.852,370.071,2.10702,14,0,368.769
368.769,368.943,372.502,364.532,375.764,11.966,15,0,389.581
389.581,368.769,368.943,372.502,379.907,10.4831,16,0,381.371
381.371,389.581,368.769,368.943,383.555,5.28464,17,0,379.712
379.712,381.371,389.581,368.769,387.523,12.1214,18,0,401.487
401.487,379.712,381.371,389.581,388.706,11.3707,19,0,384.92
384.92,401.487,379.712,381.371,389.064,10.955,20,0,380.786
380.786,384.92,401.487,379.712,379.415,6.30388,21,0,372.538
372.538,380.786,384.92,401.487,376.722,4.12551,22,0,376.841
376.841,372.538,380.786,384.92,374.449,2.19175,23,0,373.968
373.825,364.236,381.471,367.783,370.961,5.8459,4,0,374.823
374.823,373.825,364.236,381.471,372.605,3.01908,5,0,369.167
369.167,374.823,373.825,364.236,375.596,6.84847,6,0,382.798
382.798,369.167,374.823,373.825,382.191,12.7316,7,0,394.608
394.608,382.798,369.167,374.823,388.298,5.94651,8,0,387.489
387.489,394.608,382.798,369.167,391.977,3.90597,9,0,393.834
393.834,387.489,394.608,382.798,395.435,8.85579,10,0,404.982
404.982,393.834,387.489,394.608,403.684,9.26902,11,0,412.235
412.235,404.982,393.834,387.489,408.13,3.72001,12,0,407.172
407.172,412.235,404.982,393.834,414.691,9.00168,13,0,424.666
424.666,407.172,412.235,404.982,417.252,9.04655,14,0,419.919
419.919,424.666,407.172,412.235,420.361,4.10092,15,0,416.5
416.5,419.919,424.666,407.172,419.115,2.32054,16,0,420.927
420.927,416.5,419.919,424.666,417.473,3.08438,17,0,414.993
414.993,420.927,416.5,419.919,418.68,3.21852,18,0,420.121
420.121,414.993,420.927,416.5,419.955,4.88072,19,0,424.751
424.751,420.121,414.993,420.927,426.69,7.72363,20,0,435.199
435.199,424.751,420.121,414.993,434.99,10.1361,21,0,445.019
445.019,435.199,424.751,420.121,434.81,10.4088,22,0,424.213
424.213,445.019,435.199,424.751,437.663,11.6656,23,0,443.758
90.6757,87.3182,74.6516,72.2491,91.4985,4.64659,4,0,96.5015
96.5015,90.6757,87.3182,74.6516,96.7949,6.271,5,0,103.207
103.207,96.5015,90.6757,87.3182,97.8189,4.8655,6,0,93.7477
93.7477,103.207,96.5015,90.6757,96.7745,5.5743,7,0,93.3684
93.3684,93.7477,103.207,96.5015,92.933,1.09905,8,0,91.683
91.683,93.3684,93.7477,103.207,95.6354,5.45175,9,0,101.855
101.855,91.683,93.3684,93.7477,96.5765,5.09686,10,0,96.1917
96.1917,101.855,91.683,93.3684,99.0878,2.83382,11,0,99.2169
99.2169,96.1917,101.855,91.683,109.882,21.1472,12,0,134.238
134.238,99.2169,96.1917,101.855,123.724,21.2953,13,0,137.718
137.718,134.238,99.2169,96.1917,144.447,14.771,14,0,161.384
161.384,137.718,134.238,99.2169,154.094,14.2102,15,0,163.179
163.179,161.384,137.718,134.238,162.043,0.988151,16,0,161.565
161.565,163.179,161.384,137.718,162.732,1.02017,17,0,163.452
163.452,161.565,163.179,161.384,165.588,5.41714,18,0,171.748
171.748,163.452,161.565,163.179,167.811,4.16369,19,0,168.233
168.233,171.748,163.452,161.565,163.4,11.5485,20,0,150.221
150.221,168.233,171.748,163.452,157.301,9.60403,21,0,153.449
153.449,150.221,168.233,171.748,157.364,9.71159,22,0,168.422
168.422,153.449,150.221,168.233,162.338,7.87089,23,0,165.144
285.51,277.181,263.419,259.404,283.018,5.07322,4,0,286.363
286.363,285.51,277.181,263.419,290.85,8.52188,5,0,300.678
300.678,286.363,285.51,277.181,291.925,7.6724,6,0,288.735
288.735,300.678,286.363,285.51,285.437,17.1305,7,0,266.897
266.897,288.735,300.678,286.363,276.493,11.1568,8,0,273.847
273.847,266.897,288.735,300.678,269.361,3.89161,9,0,267.338
267.338,273.847,266.897,288.735,270.855,3.28606,10,0,271.38
271.38,267.338,273.847,266.897,273.324,7.15888,11,0,281.254
281.254,271.38,267.338,273.847,281.747,10.6224,12,0,292.607
292.607,281.254,271.38,267.338,288.895,6.6176,13,0,292.822
292.822,292.607,281.254,271.38,298.531,10.075,14,0,310.164
310.164,292.822,292.607,281.254,299.521,9.31938,15,0,295.578
295.578,310.164,292.822,292.607,303.345,7.33938,16,0,304.293
304.293,295.578,310.164,292.822,307.122,13.1886,17,0,321.496
321.496,304.293,295.578,310.164,307.665,12.4911,18,0,297.206
297.206,321.496,304.293,295.578,306.765,12.9445,19,0,301.593
301.593,297.206,321.496,304.293,295.377,7.3046,20,0,287.332
287.332,301.593,297.206,321.496,293.233,7.44188,21,0,290.775
290.775,287.332,301.593,297.206,288.947,1.73149,22,0,288.734
288.734,290.775,287.332,301.593,291.15,2.62428,23,0,293.942
191.97,191.027,177.523,164.958,190.817,1.27168,4,0,189.453
189.453,191.97,191.027,177.523,192.016,2.58695,5,0,194.626
194.626,189.453,191.97,191.027,189.954,4.44297,6,0,185.783
185.783,194.626,189.453,191.97,191.134,4.70593,7,0,192.994
192.994,185.783,194.626,189.453,182.962,11.6998,8,0,170.11
170.11,192.994,185.783,194.626,182.629,11.593,9,0,184.782
184.782,170.11,192.994,185.783,177.708,7.34983,10,0,178.233
178.233,184.782,170.11,192.994,185.12,7.06237,11,0,192.345
192.345,178.233,184.782,170.11,199.312,25.2923,12,0,227.357
227.357,192.345,178.233,184.782,218.484,23.0219,13,0,235.748
235.748,227.357,192.345,178.233,232.028,4.2754,14,0,232.978
232.978,235.748,227.357,192.345,234.044,1.49141,15,0,233.406
233.406,232.978,235.748,227.357,230.266,5.07175,16,0,224.415
224.415,233.406,232.978,235.748,233.619,9.31174,17,0,243.035
243.035,224.415,233.406,232.978,243.818,19.806,18,0,264.004
264.004,243.035,224.415,233.406,250.806,11.4901,19,0,245.378
245.378,264.004,243.035,224.415,248.685,13.9623,20,0,236.673
236.673,245.378,264.004,243.035,243.209,5.76563,21,0,247.576
247.576,236.673,245.378,264.004,240.77,5.93474,22,0,238.06
238.06,247.576,236.673,245.378,247.984,10.134,23,0,258.316
81.3053,73.707,55.671,59.1013,71.0402,11.8262,4,0,58.1082
58.1082,81.3053,73.707,55.671,64.06,15.1719,5,0,52.7663
52.7663,58.1082,81.3053,73.707,57.7834,4.86285,6,0,62.4757
62.4757,52.7663,58.1082,81.3053,52.4741,10.1509,7,0,42.1803
42.1803,62.4757,52.7663,58.1082,51.1987,10.3345,8,0,48.94
48.94,42.1803,62.4757,52.7663,40.9617,8.65222,9,0,31.7648
31.7648,48.94,42.1803,62.4757,43.1332,9.84608,10,0,48.6947
48.6947,31.7648,48.94,42.1803,41.3041,8.66709,11,0,43.4528
43.4528,48.6947,31.7648,48.94,48.0125,4.25981,12,0,51.89
51.89,43.4528,48.6947,31.7648,55.036,13.4354,13,0,69.7653
69.7653,51.89,43.4528,48.6947,60.4517,8.96131,14,0,59.6999
59.6999,69.7653,51.89,43.4528,62.0932,6.79908,15,0,56.8144
56.8144,59.6999,69.7653,51.89,58.2882,1.44376,16,0,58.3505
58.3505,56.8144,59.6999,69.7653,81.7787,41.9163,17,0,130.171
130.171,58.3505,56.8144,59.6999,98.1567,36.5389,18,0,105.948
105.948,130.171,58.3505,56.8144,117.205,12.2017,19,0,115.496
115.496,105.948,130.171,58.3505,107.176,7.77877,20,0,100.084
100.084,115.496,105.948,130.171,108.917,7.94937,21,0,111.172
111.172,100.084,115.496,105.948,98.6139,13.3545,22,0,84.5851
84.5851,111.172,100.084,115.496,99.5169,13.5931,23,0,102.793
306.794,287.413,287.178,271.883,300.459,11.2997,4,0,307.169
307.169,306.794,287.413,287.178,305.122,3.22539,5,0,301.404
301.404,307.169,306.794,287.413,301.78,5.2107,6,0,296.767
296.767,301.404,307.169,306.794,295.617,6.44092,7,0,288.678
288.678,296.767,301.404,307.169,294.83,5.44796,8,0,299.044
299.044,288.678,296.767,301.404,290.172,8.22731,9,0,282.794
282.794,299.044,288.678,296.767,289.51,8.48336,10,0,286.693
286.693,282.794,299.044,288.678,287.513,5.17737,11,0,293.051
293.051,286.693,282.794,299.044,294.32,8.33446,12,0,303.216
303.216,293.051,286.693,282.794,303.394,10.4326,13,0,313.914
313.914,303.216,293.051,286.693,314.606,11.7516,14,0,326.689
326.689,313.914,303.216,293.051,326.498,12.4905,15,0,338.893
338.893,326.689,313.914,303.216,336.147,8.4279,16,0,342.86
342.86,338.893,326.689,313.914,339.601,2.96834,17,0,337.051
337.051,342.86,338.893,326.689,334.807,9.37898,18,0,324.509
324.509,337.051,342.86,338.893,331.129,6.30013,19,0,331.826
331.826,324.509,337.051,342.86,327.777,3.72039,20,0,326.997
326.997,331.826,324.509,337.051,326.452,5.66686,21,0,320.532
320.532,326.997,331.826,324.509,323.258,3.34945,22,0,322.245
322.245,320.532,326.997,331.826,328.187,11.8071,23,0,341.785
274.892,253.091,264.324,252.269,266.271,11.5937,4,0,270.83
270.83,274.892,253.091,264.324,266.247,11.6343,5,0,253.02
253.02,270.83,274.892,253.091,258.192,11.0051,6,0,250.726
250.726,253.02,270.83,274.892,241.687,17.6786,7,0,221.317
221.317,250.726,253.02,270.83,232.527,15.9011,8,0,225.539
225.539,221.317,250.726,253.02,225.313,3.8879,9,0,229.083
229.083,225.539,221.317,250.726,225.65,3.37812,10,0,222.329
222.329,229.083,225.539,221.317,229.986,8.1457,11,0,238.546
238.546,222.329,229.083,225.539,237.674,14.9281,12,0,252.148
