avle_plus_normalized,ndvi_mean_t2,loss_area_ha_log,delta_ndvi_mean,delta_ndvi_std,temporal_factor_mean,label_id,label_name
0.154289,0.371827,3.49989,0.7931,0.126468,0.0735603,0,monitoring_only
0.683049,0.794243,1.82516,0.23875,0.186038,0.993785,3,critical_afforestation
0.744762,0.828049,3.52419,0.447127,0.147453,0.0215412,3,critical_afforestation
0.96751,0.677507,3.11039,0.287697,0.154154,0.158798,3,critical_afforestation
0.325825,0.667911,3.74165,0.44316,0.132668,0.820979,0,monitoring_only
0.37046,0.494524,5.16071,0.338826,0.0142281,0.0350386,0,monitoring_only
0.469556,0.162268,4.56022,0.390474,0.13018,0.688259,0,monitoring_only
0.189471,0.899223,3.53175,0.0637507,0.288576,0.876638,0,monitoring_only
0.129922,0.112444,3.5078,0.0508617,0.231615,0.558226,0,monitoring_only
0.475705,0.496318,3.44456,0.682682,0.208514,0.621454,2,assisted_regeneration
0.226909,0.393707,2.50161,0.679639,0.0357381,0.836741,0,monitoring_only
0.669814,0.720906,1.25276,0.782825,0.126218,0.141623,3,critical_afforestation
0.437152,0.688624,4.16872,0.490959,0.228046,0.749009,2,assisted_regeneration
0.832678,0.60244,3.40905,0.241598,0.0149066,0.513909,3,critical_afforestation
0.700265,0.159791,3.08865,0.700517,0.0361021,0.179588,3,critical_afforestation
0.312367,0.28948,2.59691,0.758167,0.114011,0.735318,0,monitoring_only
0.83226,0.175327,1.47845,0.234505,0.221047,0.263414,2,assisted_regeneration
0.804764,0.883181,4.65669,0.332903,0.0632061,0.0632972,0,monitoring_only
0.387478,0.202226,1.61414,0.404619,0.110239,0.810381,2,assisted_regeneration
0.288328,0.873754,5.3412,0.346277,0.0984946,0.578534,0,monitoring_only
0.682495,0.19017,4.08839,0.467187,0.162863,0.672157,3,critical_afforestation
0.139752,0.789784,5.29008,0.722565,0.15701,0.591341,0,monitoring_only
0.199908,0.559704,0.989136,0.732256,0.218943,0.0327932,1,targeted_replanting
0.00736227,0.765381,3.27506,0.0826011,0.0665313,0.179145,0,monitoring_only
0.786924,0.607227,4.14977,0.57323,0.225514,0.633087,3,critical_afforestation
0.664851,0.71507,4.77507,0.102639,0.262364,0.705315,3,critical_afforestation
0.705165,0.684649,4.01857,0.260891,0.0148414,0.293971,0,monitoring_only
0.780729,0.30815,3.01532,0.318018,0.117446,0.200739,2,assisted_regeneration
0.458916,0.848039,3.93973,0.72721,0.0547393,0.308475,2,assisted_regeneration
0.568741,0.614917,1.08919,0.290462,0.142166,0.306984,1,targeted_replanting
0.139797,0.261667,2.63703,0.481192,0.232977,0.57486,0,monitoring_only
0.11453,0.344834,3.88497,0.507124,0.150101,0.743045,0,monitoring_only
0.668403,0.526441,4.07173,0.288524,0.0499539,0.708072,0,monitoring_only
0.471096,0.805461,3.84068,0.558505,0.0365642,0.169416,2,assisted_regeneration
0.565236,0.737402,2.50957,0.421688,0.234031,0.855493,0,monitoring_only
0.764999,0.341638,4.60973,0.259066,0.0070338,0.601136,3,critical_afforestation
0.634718,0.650789,4.28128,0.365058,0.291397,0.255982,0,monitoring_only
0.553579,0.101325,3.44161,0.163004,0.0136751,0.5454,2,assisted_regeneration
0.559207,0.366113,4.7457,0.0270833,0.0686271,0.20478,0,monitoring_only
0.30395,0.771676,3.61262,0.291912,0.115843,0.312614,0,monitoring_only
0.0308178,0.220961,4.24552,0.733538,0.218802,0.71028,0,monitoring_only
0.436717,0.382716,3.33108,0.303927,0.25193,0.190905,0,monitoring_only
0.214585,0.100835,3.63279,0.708665,0.043643,0.636447,0,monitoring_only
0.408529,0.118506,3.95377,0.0649749,0.192457,0.667909,0,monitoring_only
0.853403,0.216815,2.64311,0.376898,0.0884587,0.967928,3,critical_afforestation
0.233939,0.18149,2.20898,0.235496,0.272632,0.923271,0,monitoring_only
0.0583027,0.491783,4.04226,0.333641,0.176557,0.596498,0,monitoring_only
0.281384,0.820004,4.02307,0.558966,0.0713961,0.66432,0,monitoring_only
0.293594,0.167713,5.23575,0.247678,0.0500619,0.939188,0,monitoring_only
0.661916,0.795869,4.035,0.110559,0.289209,0.390267,0,monitoring_only
0.557032,0.634526,4.26534,0.0327632,0.261541,0.978086,0,monitoring_only
0.783898,0.235116,5.31916,0.24073,0.121492,0.136844,3,critical_afforestation
0.664314,0.331789,4.08743,0.573573,0.0536873,0.515285,3,critical_afforestation
0.406387,0.255347,2.11612,0.375636,0.232253,0.966783,2,assisted_regeneration
0.81402,0.731439,1.66894,0.789423,0.0708681,0.585167,1,targeted_replanting
0.166973,0.68008,4.72368,0.182567,0.258258,0.697327,0,monitoring_only
0.0227121,0.343527,3.41094,0.729669,0.287792,0.115515,0,monitoring_only
0.0900479,0.143467,4.27126,0.658702,0.160989,0.932545,0,monitoring_only
0.722359,0.234993,4.2802,0.620245,0.182051,0.83819,3,critical_afforestation
0.461877,0.603901,4.96801,0.556843,0.0260656,0.247273,2,assisted_regeneration
0.161272,0.172298,4.00217,0.0165671,0.170332,0.986804,0,monitoring_only
0.501045,0.529172,4.88395,0.616026,0.151639,0.50479,2,assisted_regeneration
0.152312,0.590343,3.64586,0.166356,0.181139,0.73825,0,monitoring_only
0.69632,0.650203,1.58836,0.240205,0.216766,0.682596,3,critical_afforestation
0.446156,0.200285,1.00714,0.176354,0.128375,0.631959,0,monitoring_only
0.381021,0.467765,3.8551,0.343708,0.104797,0.808791,0,monitoring_only
0.301512,0.470717,5.1719,0.171447,0.0627004,0.0896205,0,monitoring_only
0.630283,0.768226,4.09692,0.682538,0.0552497,0.616534,2,assisted_regeneration
0.361813,0.474974,4.33596,0.543939,0.256354,0.483457,2,assisted_regeneration
0.0876499,0.425437,1.14135,0.515378,0.0406278,0.961299,0,monitoring_only
0.118006,0.198768,4.20856,0.592562,0.0280863,0.101692,0,monitoring_only
0.961898,0.655571,3.61915,0.253566,0.213809,0.599814,3,critical_afforestation
0.908581,0.595832,3.35508,0.442174,0.202391,0.11259,3,critical_afforestation
0.699707,0.67356,4.35485,0.51458,0.246465,0.916896,2,assisted_regeneration
0.26587,0.625027,3.86141,0.450682,0.0175413,0.974872,0,monitoring_only
0.969176,0.800227,1.70136,0.463081,0.109984,0.908704,3,critical_afforestation
0.778751,0.801877,2.53985,0.0492632,0.0942915,0.737254,0,monitoring_only
0.71689,0.346147,2.81565,0.364461,0.0522112,0.819594,3,critical_afforestation
0.449362,0.24593,4.15739,0.462846,0.0471532,0.700204,2,assisted_regeneration
0.272242,0.841182,4.01647,0.08673,0.278164,0.911639,0,monitoring_only
0.096391,0.670432,3.74995,0.145864,0.0386488,0.441462,0,monitoring_only
0.902602,0.876782,4.19609,0.454873,0.16572,0.251402,3,critical_afforestation
0.455776,0.497565,0.92427,0.139571,0.0122943,0.586648,0,monitoring_only
0.202363,0.869795,2.73599,0.409499,0.282022,0.569497,0,monitoring_only
0.305957,0.198175,2.87148,0.176618,0.0198602,0.505154,0,monitoring_only
0.57922,0.572292,2.18863,0.141634,0.0260928,0.870329,1,targeted_replanting
0.176773,0.497388,1.71666,0.634263,0.0265008,0.488277,0,monitoring_only
0.856614,0.102116,2.66691,0.648186,0.245409,0.817996,3,critical_afforestation
0.75852,0.254319,1.29291,0.26397,0.194514,0.269379,3,critical_afforestation
0.719463,0.222778,3.73196,0.258634,0.284536,0.722095,3,critical_afforestation
0.432093,0.148647,0.486152,0.33028,0.0490737,0.389914,2,assisted_regeneration
0.627309,0.858519,2.11927,0.159203,0.0636976,0.0211337,1,targeted_replanting
0.584098,0.872294,4.03537,0.439835,0.127274,0.35011,0,monitoring_only
0.649847,0.8134,3.96648,0.777486,0.226745,0.888142,2,assisted_regeneration
0.0844443,0.891105,3.46332,0.609516,0.19363,0.283887,0,monitoring_only
0.415807,0.764531,3.56495,0.223442,0.0596618,0.235125,0,monitoring_only
0.0416142,0.845745,4.45368,0.281144,0.237438,0.724011,0,monitoring_only
0.493991,0.258105,1.52447,0.155281,0.258636,0.00873112,2,assisted_regeneration
0.329861,0.305507,2.12148,0.559748,0.295855,0.359521,0,monitoring_only
0.144524,0.789653,4.1219,0.270585,0.0815035,0.608811,0,monitoring_only
0.103403,0.483571,3.26839,0.70047,0.152374,0.0950497,0,monitoring_only
0.587645,0.673578,4.81989,0.577585,0.0741507,0.406368,3,critical_afforestation
0.170593,0.549527,3.95565,0.287322,0.0686664,0.59855,0,monitoring_only
0.92512,0.344511,3.9961,0.307724,0.163772,0.735154,3,critical_afforestation
0.581061,0.327868,1.54735,0.106722,0.00992967,0.185296,2,assisted_regeneration
0.34687,0.698544,2.54398,0.376085,0.041713,0.662538,0,monitoring_only
0.590916,0.525676,3.23745,0.746504,0.141299,0.98284,2,assisted_regeneration
0.0228039,0.387509,3.83582,0.510502,0.139247,0.892763,0,monitoring_only
0.958559,0.593632,2.88429,0.386166,0.202206,0.679941,3,critical_afforestation
0.482303,0.43595,0.958987,0.326248,0.0497149,0.441788,0,monitoring_only
0.782735,0.48006,2.23989,0.490079,0.250245,0.149125,0,monitoring_only
0.08273,0.642328,3.40988,0.725322,0.216002,0.249426,0,monitoring_only
0.486658,0.466372,2.59367,0.316645,0.0535854,0.895314,0,monitoring_only
0.490707,0.859953,1.15771,0.491341,0.109195,0.202969,3,critical_afforestation
0.937826,0.488154,4.70621,0.785123,0.292671,0.249396,3,critical_afforestation
0.571728,0.869458,4.87862,0.476581,0.267756,0.0483469,2,assisted_regeneration
0.473489,0.77815,3.0417,0.553737,0.0428031,0.80315,2,assisted_regeneration
0.266976,0.812742,2.08814,0.703306,0.244376,0.701494,1,targeted_replanting
0.331569,0.71062,3.76576,0.364842,0.0470117,0.200043,0,monitoring_only
0.520672,0.58362,2.97091,0.0482631,0.150183,0.789321,0,monitoring_only
0.438911,0.526134,3.65035,0.350307,0.231104,0.606857,0,monitoring_only
0.0216121,0.541324,3.1012,0.105815,0.257131,0.620075,0,monitoring_only
0.826292,0.261164,2.85314,0.71084,0.0561403,0.996908,3,critical_afforestation
0.896161,0.271516,4.66493,0.634798,0.0546391,0.990898,3,critical_afforestation
0.140249,0.127329,3.1257,0.610974,0.210657,0.500324,0,monitoring_only
0.554036,0.696448,1.50512,0.332639,0.251066,0.541855,1,targeted_replanting
0.108576,0.199891,3.71457,0.602255,0.230327,0.887058,0,monitoring_only
0.67224,0.565719,4.77397,0.462462,0.293037,0.140341,2,assisted_regeneration
0.281234,0.210338,2.26029,0.0847071,0.0100074,0.446188,0,monitoring_only
0.659423,0.153237,1.80467,0.123833,0.0159839,0.547895,2,assisted_regeneration
0.726995,0.526875,3.06807,0.661195,0.298542,0.0696774,3,critical_afforestation
0.768647,0.798477,1.22934,0.701586,0.12769,0.000497279,3,critical_afforestation
0.107741,0.384812,3.51065,0.514844,0.217989,0.780194,0,monitoring_only
0.916012,0.835382,3.30531,0.198278,0.0448383,0.842911,3,critical_afforestation
0.230214,0.108246,3.6777,0.723522,0.111914,0.575612,0,monitoring_only
0.0374126,0.472591,2.8782,0.700468,0.298697,0.528867,0,monitoring_only
0.554852,0.217412,3.21962,0.566043,0.232354,0.392126,2,assisted_regeneration
0.370922,0.352624,3.14736,0.610612,0.247351,0.576822,2,assisted_regeneration
0.82979,0.118985,4.72789,0.0873518,0.140724,0.970625,2,assisted_regeneration
0.808252,0.128278,3.09019,0.604768,0.0475186,0.687815,3,critical_afforestation
0.317139,0.670251,3.98303,0.700789,0.286647,0.249652,0,monitoring_only
0.952899,0.623632,2.1252,0.542856,0.000164511,0.276675,3,critical_afforestation
0.290918,0.266668,2.92952,0.746369,0.268676,0.690557,2,assisted_regeneration
0.515057,0.820919,4.98152,0.0725247,0.0650065,0.374541,0,monitoring_only
0.255965,0.650382,3.79531,0.125937,0.29659,0.725682,0,monitoring_only
0.936044,0.368938,4.88236,0.791152,0.0306447,0.0743842,3,critical_afforestation
0.164608,0.426123,5.77273,0.703109,0.00712532,0.26999,0,monitoring_only
0.0449106,0.334045,0.10732,0.207413,0.0162514,0.388758,0,monitoring_only
0.435097,0.764479,4.85696,0.743911,0.0929488,0.515478,2,assisted_regeneration
0.992376,0.495168,2.06171,0.0412644,0.252093,0.455514,3,critical_afforestation
0.891677,0.208246,4.76926,0.362384,0.157883,0.661153,3,critical_afforestation
0.748608,0.261371,3.31589,0.154846,0.0866355,0.199449,2,assisted_regeneration
0.890792,0.337263,5.08973,0.739309,0.071128,0.440385,3,critical_afforestation
0.893447,0.422523,1.87885,0.797005,0.0171316,0.0293399,3,critical_afforestation
0.518858,0.574112,5.20107,0.0887164,0.276342,0.774194,0,monitoring_only
0.315929,0.871332,4.24604,0.706444,0.158526,0.362995,0,monitoring_only
0.772012,0.309543,1.06243,0.0525592,0.24113,0.0956805,2,assisted_regeneration
0.661661,0.362723,4.46878,0.750722,0.053731,0.480941,2,assisted_regeneration
0.373658,0.119162,2.94967,0.736725,0.279992,0.819472,2,assisted_regeneration
0.0944667,0.398042,4.61089,0.640114,0.0698742,0.201007,0,monitoring_only
0.74679,0.640062,2.54289,0.0213415,0.0495306,0.391029,0,monitoring_only
0.262461,0.870449,4.88666,0.214195,0.171778,0.0646045,0,monitoring_only
0.936813,0.692152,3.05922,0.428324,0.030787,0.129375,3,critical_afforestation
0.240971,0.194397,3.24616,0.358321,0.216822,0.170189,0,monitoring_only
0.122758,0.812031,3.51175,0.352857,0.280019,0.545615,0,monitoring_only
0.831113,0.770943,2.69498,0.552145,0.177092,0.642815,0,monitoring_only
0.153284,0.251218,5.0331,0.11688,0.217404,0.741998,0,monitoring_only
0.179268,0.847474,3.12312,0.506028,0.122213,0.289361,0,monitoring_only
0.599383,0.671279,4.23729,0.119435,0.147776,0.56299,0,monitoring_only
0.874562,0.726254,0.422562,0.211735,0.0547777,0.980587,3,critical_afforestation
0.196435,0.467312,3.13646,0.473152,0.119139,0.0597812,0,monitoring_only
0.310324,0.260547,4.49136,0.552082,0.170523,0.987302,0,monitoring_only
0.777405,0.739284,3.4883,0.184422,0.101186,0.549841,3,critical_afforestation
0.971826,0.481954,4.64842,0.248253,0.195949,0.730823,3,critical_afforestation
0.500741,0.873944,4.83741,0.609829,0.134968,0.34238,2,assisted_regeneration
0.143898,0.222668,4.7662,0.462274,0.166413,0.217356,0,monitoring_only
0.0139363,0.384323,4.41256,0.248678,0.00729445,0.657404,2,assisted_regeneration
0.229656,0.688438,3.85369,0.438575,0.26261,0.122757,0,monitoring_only
0.131822,0.557825,2.99268,0.104278,0.044804,0.801375,0,monitoring_only
0.677659,0.44662,4.28709,0.336658,0.236059,0.860333,3,critical_afforestation
0.121833,0.661288,2.27016,0.630125,0.21935,0.774708,1,targeted_replanting
0.50633,0.686681,1.41803,0.704017,0.141244,0.709772,1,targeted_replanting
0.694262,0.561839,4.29811,0.00595062,0.0196632,0.455315,0,monitoring_only
0.581117,0.355283,4.01785,0.561245,0.168825,0.387245,2,assisted_regeneration
0.199776,0.595008,3.25908,0.00873665,0.050411,0.571674,0,monitoring_only
0.804125,0.536194,4.74707,0.59547,0.249501,0.240203,3,critical_afforestation
0.715407,0.738125,2.00757,0.679657,0.161611,0.268978,3,critical_afforestation
0.738984,0.622766,3.29117,0.738349,0.126991,0.440397,3,critical_afforestation
0.131058,0.497417,4.59889,0.0749796,0.209007,0.76524,0,monitoring_only
0.123754,0.114964,0.359075,0.00950934,0.29971,0.548827,0,monitoring_only
0.927563,0.233552,3.11837,0.294802,0.157352,0.924384,3,critical_afforestation
0.397578,0.369275,3.4307,0.203468,0.270085,0.450132,2,assisted_regeneration
0.300949,0.581103,0.382508,0.329116,0.00805061,0.834364,1,targeted_replanting
0.488584,0.733887,4.1041,0.132862,0.156041,0.97483,0,monitoring_only
0.662864,0.867963,4.72909,0.616427,0.0538276,0.34654,2,assisted_regeneration
0.955623,0.579844,2.49019,0.523961,0.253328,0.0600127,3,critical_afforestation
0.286446,0.683075,2.63761,0.31569,0.107885,0.0274885,0,monitoring_only
0.924808,0.597153,2.9743,0.562235,0.150023,0.970971,3,critical_afforestation
0.0248595,0.444222,3.18001,0.275304,0.251831,0.716889,0,monitoring_only
0.555198,0.587741,4.55147,0.456569,0.282183,0.100719,2,assisted_regeneration
0.633975,0.420538,4.37535,0.361749,0.0475481,0.422922,0,monitoring_only
0.105897,0.462912,4.64176,0.265773,0.0610912,0.375741,0,monitoring_only
0.14034,0.828803,4.00298,0.0465459,0.192959,0.746788,0,monitoring_only
0.419114,0.551088,0.978494,0.252451,0.276647,0.610012,1,targeted_replanting
0.966232,0.180329,3.03346,0.373212,0.0873359,0.760263,3,critical_afforestation
0.596043,0.519013,3.69467,0.242072,0.122929,0.805016,3,critical_afforestation
0.933023,0.862608,4.51075,0.77714,0.0523578,0.309124,3,critical_afforestation
0.804361,0.180034,4.33956,0.1492,0.272006,0.0532594,2,assisted_regeneration
0.467382,0.87695,2.68869,0.309662,0.254377,0.218669,0,monitoring_only
0.784763,0.890112,2.92114,0.548129,0.176448,0.808622,3,critical_afforestation
0.0178368,0.548571,4.37782,0.215621,0.0411991,0.959578,0,monitoring_only
0.109144,0.365951,4.31155,0.404771,0.182662,0.000516927,0,monitoring_only
0.829429,0.106908,2.66671,0.57534,0.169839,0.70978,3,critical_afforestation
0.796817,0.112404,2.83478,0.768897,0.118284,0.748724,2,assisted_regeneration
0.232641,0.410476,3.47052,0.43321,0.0540602,0.212561,0,monitoring_only
0.53077,0.726457,3.68768,0.583559,0.293153,0.279496,2,assisted_regeneration
0.606016,0.853899,4.22349,0.646451,0.170468,0.592442,2,assisted_regeneration
0.867739,0.223823,5.01823,0.27843,0.147344,0.0877678,2,assisted_regeneration
0.603107,0.490202,3.84922,0.366658,0.0586346,0.906924,0,monitoring_only
0.412572,0.501381,1.88377,0.692662,0.233713,0.0110805,1,targeted_replanting
0.374184,0.404243,5.32278,0.51124,0.288423,0.169773,2,assisted_regeneration
0.425882,0.531965,3.17076,0.0140934,0.26472,0.844154,0,monitoring_only
0.651931,0.840018,3.60647,0.718151,0.267881,0.44117,2,assisted_regeneration
0.867491,0.450823,3.98646,0.323358,0.0891634,0.969899,3,critical_afforestation
0.453897,0.210224,2.15918,0.574368,0.0624663,0.0274799,2,assisted_regeneration
0.24784,0.63236,3.81741,0.273917,0.252894,0.612733,0,monitoring_only
0.236662,0.1251,4.35859,0.421417,0.0550456,0.70363,0,monitoring_only
0.746014,0.852092,1.50157,0.388714,0.0413145,0.108962,3,critical_afforestation
0.816569,0.85191,3.853,0.0544396,0.123584,0.465021,3,critical_afforestation
0.105278,0.173714,3.75279,0.314981,0.283,0.501936,0,monitoring_only
0.0665589,0.540709,4.4821,0.198743,0.265672,0.706613,0,monitoring_only
0.594434,0.737912,4.11485,0.478921,0.100153,0.092996,2,assisted_regeneration
0.146173,0.471663,4.07603,0.767395,0.161045,0.351897,0,monitoring_only
0.824664,0.483017,3.86091,0.623549,0.0888391,0.501031,0,monitoring_only
0.310335,0.87616,3.98627,0.730303,0.18726,0.962056,0,monitoring_only
0.143872,0.284406,2.49576,0.394067,0.107597,0.665808,0,monitoring_only
0.92097,0.521048,3.46813,0.0404943,0.140142,0.996262,3,critical_afforestation
0.165532,0.191975,4.82071,0.195857,0.273639,0.00752585,0,monitoring_only
0.28472,0.341952,4.63213,0.384855,0.265182,0.889233,0,monitoring_only
0.153613,0.780724,3.85904,0.287483,0.122608,0.822057,0,monitoring_only
0.11549,0.673159,1.92365,0.368167,0.12925,0.000767663,1,targeted_replanting
0.021148,0.589603,4.67886,0.697277,0.0978096,0.698486,0,monitoring_only
0.0553954,0.191111,3.12293,0.0103357,0.182564,0.718166,0,monitoring_only
0.174641,0.780559,4.12214,0.169178,0.273769,0.635858,0,monitoring_only
0.0533819,0.338487,3.60257,0.774439,0.0142162,0.230275,0,monitoring_only
0.591144,0.527986,4.47214,0.483186,0.107815,0.450605,3,critical_afforestation
0.680715,0.28678,2.82411,0.294289,0.297872,0.0997219,3,critical_afforestation
0.39363,0.516589,3.13465,0.161607,0.0561354,0.933059,0,monitoring_only
0.317991,0.549712,2.13988,0.343212,0.199296,0.725218,1,targeted_replanting
0.504526,0.372375,2.54182,0.64712,0.0379659,0.933459,2,assisted_regeneration
0.875005,0.504737,2.0552,0.784421,0.0662761,0.198864,3,critical_afforestation
0.851132,0.424842,4.52458,0.210821,0.266654,0.508364,3,critical_afforestation
0.0434751,0.657996,4.31827,0.644443,0.225865,0.274906,0,monitoring_only
0.181498,0.535113,3.13715,0.0309441,0.292997,0.598936,0,monitoring_only
0.236745,0.802461,3.03607,0.60121,0.0723476,0.630759,0,monitoring_only
0.249388,0.139714,4.48601,0.674039,0.120596,0.957789,0,monitoring_only
0.571233,0.121311,4.3642,0.244234,0.102778,0.378054,0,monitoring_only
0.416262,0.250839,3.95213,0.564794,0.0851829,0.843309,2,assisted_regeneration
0.0492541,0.194861,4.44991,0.770079,0.272078,0.873224,0,monitoring_only
0.373614,0.520717,1.9122,0.531212,0.0339025,0.467775,1,targeted_replanting
0.523753,0.260107,4.44363,0.474186,0.292167,0.255034,2,assisted_regeneration
0.101672,0.112839,3.83732,0.0661665,0.0269931,0.41089,0,monitoring_only
0.833459,0.326098,3.52599,0.173872,0.234158,0.769225,2,assisted_regeneration
0.0519619,0.507362,1.01499,0.217686,0.0124472,0.699358,1,targeted_replanting
0.924842,0.671404,4.64247,0.132655,0.0941687,0.843169,3,critical_afforestation
0.0991131,0.450716,2.9376,0.073827,0.1393,0.934143,0,monitoring_only
0.843575,0.870171,2.3778,0.704474,0.0237966,0.58097,3,critical_afforestation
0.902653,0.259562,3.93972,0.156726,0.0370571,0.480232,3,critical_afforestation
0.979571,0.51125,2.64608,0.690687,0.190013,0.0886439,3,critical_afforestation
0.802026,0.302547,3.00973,0.749779,0.0333908,0.396052,3,critical_afforestation
0.779478,0.745334,4.94353,0.332558,0.279064,0.427467,3,critical_afforestation
0.642483,0.250207,1.62621,0.225976,0.0486063,0.858998,2,assisted_regeneration
0.778996,0.869281,3.43869,0.639612,0.217412,0.925955,0,monitoring_only
0.134552,0.673285,2.10389,0.782918,0.241788,0.572103,1,targeted_replanting
0.536068,0.545492,4.16109,0.117276,0.111705,0.916911,0,monitoring_only
0.514223,0.525878,3.49755,0.270219,0.280337,0.15169,0,monitoring_only
0.857572,0.389976,2.47342,0.615623,0.125773,0.649842,3,critical_afforestation
0.462799,0.116821,4.62562,0.00423853,0.0925857,0.491223,2,assisted_regeneration
0.385089,0.832099,2.59894,0.303118,0.214246,0.433651,0,monitoring_only
0.639563,0.73595,2.95045,0.0984096,0.103485,0.311196,3,critical_afforestation
0.266463,0.207886,2.57454,0.651774,0.220776,0.775681,2,assisted_regeneration
0.139768,0.197664,2.87486,0.20691,0.0707521,0.0132645,0,monitoring_only
0.477877,0.346481,4.19477,0.495025,0.0715034,0.339457,2,assisted_regeneration
0.416889,0.710512,4.13535,0.459666,0.107724,0.184177,2,assisted_regeneration
0.23257,0.502532,4.71231,0.743221,0.201588,0.242904,0,monitoring_only
0.367512,0.623368,2.74149,0.0625215,0.277804,0.0118655,0,monitoring_only
0.366392,0.104955,1.92855,0.384663,0.230525,0.67049,0,monitoring_only
0.327496,0.838964,2.74569,0.715884,0.106262,0.118579,0,monitoring_only
0.379464,0.232549,2.61899,0.423428,0.127882,0.0519003,0,monitoring_only
0.685743,0.355121,3.40223,0.768611,0.153765,0.34007,2,assisted_regeneration
0.296876,0.85772,2.61205,0.19289,0.0217538,0.16986,0,monitoring_only
0.948858,0.686315,4.44383,0.383965,0.14902,0.675981,3,critical_afforestation
0.916348,0.508853,4.22705,0.642463,0.141536,0.660705,0,monitoring_only
0.48091,0.790333,5.35775,0.357544,0.179836,0.534751,0,monitoring_only
0.328361,0.14901,4.51082,0.200404,0.250025,0.945461,0,monitoring_only
0.535435,0.161034,2.6362,0.088194,0.278245,0.810323,2,assisted_regeneration
0.848561,0.224129,5.17666,0.678217,0.265873,0.561982,3,critical_afforestation
0.652587,0.311657,4.5444,0.113662,0.163546,0.899853,2,assisted_regeneration
0.804392,0.667224,3.67292,0.107111,0.28285,0.278731,0,monitoring_only
0.532722,0.525934,2.02715,0.309458,0.29464,0.450907,1,targeted_replanting
0.632918,0.440836,3.19916,0.743451,0.0322643,0.506133,2,assisted_regeneration
0.288156,0.726071,4.13804,0.462548,0.0402529,0.148196,0,monitoring_only
0.734893,0.353728,3.94859,0.29072,0.182461,0.862995,2,assisted_regeneration
0.202405,0.168366,3.06833,0.734443,0.239491,0.162466,0,monitoring_only
0.694798,0.417413,4.56904,0.226189,0.183931,0.400953,0,monitoring_only
0.860719,0.713129,4.90005,0.0204286,0.146467,0.732814,3,critical_afforestation
0.132103,0.479269,4.18445,0.286608,0.18726,0.194889,0,monitoring_only
0.61438,0.881718,1.9559,0.504064,0.0906742,0.293793,1,targeted_replanting
0.0950957,0.784902,3.07639,0.714318,0.210191,0.474763,0,monitoring_only
0.725716,0.732763,4.77878,0.498493,0.278538,0.915156,2,assisted_regeneration
0.0844932,0.718544,4.88871,0.467824,0.27848,0.00660078,0,monitoring_only
0.93594,0.564899,4.30034,0.576519,0.245011,0.099325,3,critical_afforestation
0.137408,0.82092,4.52883,0.167057,0.179299,0.895411,0,monitoring_only
0.95888,0.571898,2.37051,0.710417,0.114259,0.321494,3,critical_afforestation
0.800884,0.398029,3.33691,0.471695,0.151803,0.91017,2,assisted_regeneration
